"height","width","aratio","local"
"125","125","1.0","1"
"57","468","8.2105","1"
"33","230","6.9696","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"59","460","7.7966","1"
"60","234","3.9","1"
"60","468","7.8","1"
"60","468","7.8","1"
"?","?","?","1"
"90","52","0.5777","1"
"90","60","0.6666","1"
"90","60","0.6666","1"
"33","230","6.9696","1"
"60","468","7.8","1"
"60","468","7.8","0"
"125","125","1.0","1"
"60","468","7.8","1"
"30","585","19.5","1"
"90","60","0.6666","1"
"90","60","0.6666","1"
"90","60","0.6666","1"
"90","60","0.6666","1"
"?","?","?","1"
"90","52","0.5777","1"
"90","60","0.6666","1"
"60","468","7.8","1"
"60","234","3.9","0"
"60","234","3.9","0"
"60","88","1.4666","0"
"60","120","2.0","0"
"35","125","3.5714","0"
"60","468","7.8","0"
"60","468","7.8","0"
"60","468","7.8","0"
"72","392","5.4444","1"
"60","468","7.8","1"
"60","468","7.8","1"
"50","107","2.14","0"
"50","107","2.14","0"
"50","107","2.14","0"
"50","107","2.14","0"
"60","468","7.8","0"
"125","125","1.0","1"
"60","468","7.8","0"
"60","468","7.8","1"
"60","468","7.8","0"
"125","125","1.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","120","2.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"125","125","1.0","1"
"60","468","7.8","1"
"120","125","1.0416","1"
"60","468","7.8","1"
"60","234","3.9","1"
"60","234","3.9","1"
"60","468","7.8","0"
"?","?","?","0"
"?","?","?","0"
"?","?","?","0"
"?","?","?","0"
"60","468","7.8","1"
"2","2","1.0","1"
"60","120","2.0","1"
"65","125","1.9230","0"
"125","125","1.0","0"
"125","125","1.0","0"
"?","?","?","0"
"60","468","7.8","1"
"60","468","7.8","0"
"60","468","7.8","1"
"60","234","3.9","1"
"44","127","2.8863","1"
"60","468","7.8","1"
"80","80","1.0","1"
"80","80","1.0","1"
"80","80","1.0","1"
"60","468","7.8","1"
"80","80","1.0","1"
"80","80","1.0","1"
"80","80","1.0","1"
"125","125","1.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","234","3.9","1"
"60","234","3.9","1"
"60","234","3.9","0"
"60","234","3.9","1"
"64","231","3.6093","1"
"31","88","2.8387","1"
"100","100","1.0","1"
"74","54","0.7297","1"
"31","96","3.0967","0"
"100","100","1.0","1"
"93","147","1.5806","1"
"60","95","1.5833","1"
"21","188","8.9523","0"
"20","58","2.9","0"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"55","460","8.3636","1"
"60","468","7.8","1"
"60","468","7.8","1"
"135","126","0.9333","1"
"135","126","0.9333","1"
"135","126","0.9333","1"
"135","126","0.9333","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"30","159","5.3","0"
"?","?","?","1"
"21","183","8.7142","1"
"?","?","?","1"
"?","?","?","1"
"50","400","8.0","1"
"50","400","8.0","1"
"60","468","7.8","0"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"26","468","18.0","?"
"60","468","7.8","1"
"136","93","0.6838","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"124","120","0.9677","1"
"60","468","7.8","0"
"125","125","1.0","0"
"125","125","1.0","0"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","0"
"60","468","7.8","0"
"60","468","7.8","0"
"60","468","7.8","1"
"20","83","4.15","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"124","120","0.9677","1"
"60","468","7.8","1"
"52","476","9.1538","1"
"45","100","2.2222","1"
"45","100","2.2222","1"
"45","100","2.2222","1"
"45","100","2.2222","1"
"60","468","7.8","1"
"124","120","0.9677","1"
"125","125","1.0","1"
"?","?","?","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"165","90","0.5454","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","0"
"60","468","7.8","1"
"60","468","7.8","1"
"125","125","1.0","1"
"60","468","7.8","1"
"60","468","7.8","0"
"60","468","7.8","0"
"60","468","7.8","0"
"60","468","7.8","0"
"60","468","7.8","0"
"60","468","7.8","0"
"25","75","3.0","1"
"60","468","7.8","0"
"125","125","1.0","0"
"60","468","7.8","0"
"60","234","3.9","0"
"60","468","7.8","0"
"105","225","2.1428","0"
"?","?","?","1"
"?","?","?","1"
"60","468","7.8","0"
"?","?","?","1"
"?","?","?","1"
"60","468","7.8","1"
"60","468","7.8","1"
"125","125","1.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","234","3.9","1"
"60","468","7.8","1"
"60","400","6.6666","1"
"60","468","7.8","1"
"125","125","1.0","1"
"60","468","7.8","1"
"60","234","3.9","1"
"60","234","3.9","1"
"31","88","2.8387","0"
"60","468","7.8","0"
"?","?","?","1"
"60","468","7.8","1"
"88","88","1.0","1"
"88","88","1.0","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","234","3.9","0"
"60","468","7.8","1"
"60","468","7.8","1"
"?","?","?","1"
"73","69","0.9452","0"
"72","392","5.4444","1"
"72","392","5.4444","1"
"60","468","7.8","1"
"60","88","1.4666","1"
"?","?","?","1"
"60","88","1.4666","1"
"60","468","7.8","1"
"60","88","1.4666","1"
"60","468","7.8","1"
"90","120","1.3333","?"
"90","120","1.3333","?"
"90","120","1.3333","?"
"90","120","1.3333","?"
"60","468","7.8","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"93","261","2.8064","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"33","270","8.1818","1"
"60","468","7.8","1"
"33","142","4.3030","1"
"33","230","6.9696","1"
"33","230","6.9696","0"
"60","468","7.8","0"
"60","468","7.8","0"
"60","120","2.0","1"
"60","120","2.0","1"
"60","234","3.9","1"
"60","468","7.8","1"
"60","468","7.8","0"
"60","120","2.0","1"
"60","234","3.9","1"
"60","468","7.8","0"
"125","125","1.0","1"
"60","468","7.8","1"
"?","?","?","1"
"?","?","?","1"
"43","230","5.3488","1"
"43","230","5.3488","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"43","230","5.3488","1"
"43","230","5.3488","1"
"43","230","5.3488","1"
"43","230","5.3488","1"
"60","234","3.9","1"
"60","468","7.8","1"
"60","468","7.8","1"
"120","125","1.0416","1"
"50","370","7.4","1"
"50","455","9.1","0"
"30","200","6.6666","1"
"30","200","6.6666","1"
"30","200","6.6666","1"
"30","200","6.6666","1"
"30","200","6.6666","1"
"30","200","6.6666","0"
"30","200","6.6666","1"
"50","309","6.18","1"
"?","?","?","1"
"60","89","1.4833","1"
"33","230","6.9696","1"
"?","?","?","1"
"?","?","?","1"
"73","69","0.9452","0"
"?","?","?","1"
"?","?","?","1"
"?","?","?","1"
"73","69","0.9452","0"
"73","69","0.9452","0"
"?","?","?","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","1"
"60","468","7.8","0"
"60","468","7.8","0"
